ID;Size;Model;y_obs;y_hat;Res
8;0.043;1;0.04;0.012003066;0.027996934
8;0.0375;1;0.04;0.009868594;0.030131406
8;0.0325;1;0.04;0.008041525;0.031958475
8;0.028;1;0.04;0.006497292;0.033502708
8;0.0245;1;0.04;0.005367339;0.034632661
8;0.0215;1;0.04;0.004452397;0.035547603
8;0.0185;1;0.04;0.003590957;0.036409043
8;0.016;1;0.04;0.002917394;0.037082606
8;0.014;1;0.04;0.002410011;0.037589989
8;0.012;1;0.04;0.001932991;0.038067009
8;0.0105;1;0.04;0.001596809;0.038403191
1;170.2295;2;100;97.58686796;2.413132042
1;148.2635;2;99.89;96.73021986;3.159780139
1;129.132;2;99.47;95.59284787;3.877152134
